title,url,date,wordCount,legacyCategories,legacyTags,controlledTags,needsTagReview
A Modern “Common Sense” About What Made Christianity Attractive to Converts,https://ehrmanblog.org/a-modern-common-sense-about-what-made-christianity-attractive-to-converts/,"May 19, 2026",1092,spread-christianity,,spread-of-christianity,False
What an Ancient Enemy of Christianity Said About Why It Was Successful,https://ehrmanblog.org/what-an-ancient-enemy-of-christianity-said-about-why-it-was-successful/,"May 17, 2026",1110,spread-christianity,,spread-of-christianity,False
How Did Christianity Succeed?  An Older View That Many People Still Have,https://ehrmanblog.org/how-did-christianity-succeed-an-older-view-that-many-people-still-have/,"May 16, 2026",894,spread-christianity,,spread-of-christianity,False
Do You Know The Golden Ass?   (Is a Mystery Religion like Christianity?),https://ehrmanblog.org/do-you-know-the-golden-ass-is-a-mystery-religion-like-christianity/,"May 14, 2026",1419,greco-roman-religions-and-culture,,greco-roman-world,False
Christianity:  A Weirdly Exclusivist Religion,https://ehrmanblog.org/christianity-a-weirdly-exclusivist-religion/,"May 13, 2026",1211,public-forum; spread-christianity,,spread-of-christianity,False
Some Important Readers’ Questions on Some Gospel Head-Scratchers,https://ehrmanblog.org/some-important-readers-questions-on-some-gospel-head-scratchers/,"May 12, 2026",972,canonical-gospels,,canonical-gospels; reader-questions,False
How Early Christians Made Converts.  (Tent revivals?),https://ehrmanblog.org/how-early-christians-made-converts-tent-revivals/,"May 10, 2026",1044,spread-christianity,,early-christianity; spread-of-christianity,False
Converting the World:  Why Has Christianity Always Been “Missionary”?,https://ehrmanblog.org/converting-the-world-why-has-christianity-always-been-missionary/,"May 9, 2026",1412,spread-christianity,,spread-of-christianity,False
"Blog Dinner in Waynesville NC, May 19.  Wanna Come?",https://ehrmanblog.org/blog-dinner-in-waynesville-nc-may-19-wanna-come/,"May 8, 2026",134,public-forum,,blog-community,False
Jesus and Capitalism:  My Next Book (A Big Change),https://ehrmanblog.org/jesus-and-capitalism-my-next-book-a-big-change/,"May 7, 2026",2187,public-forum,,historical-jesus; book-discussion,False
Want To Be Involved in More In-Depth Discussion of Key Issues?  A Blog Opportunity,https://ehrmanblog.org/want-to-be-involved-in-more-in-depth-discussion-of-key-issues-a-blog-opportunity/,"May 6, 2026",1051,public-forum,,blog-community,False
A Common But Lousy Argument That We KNOW What the NT Originally Said: Anniversary Post #14,https://ehrmanblog.org/a-common-but-lousy-argument-that-we-know-what-the-nt-originally-said-anniversary-post-14/,"May 5, 2026",1136,new-testament-manuscripts; public-forum,,textual-criticism,False
Sailing Cruise to Caribbean Islands in January.  Want to Come with Me?,https://ehrmanblog.org/sailing-cruise-to-caribbean-islands-in-january-want-to-come-with-me/,"May 3, 2026",243,public-forum,,blog-community,False
The Morality of War,https://ehrmanblog.org/the-morality-of-war/,"May 2, 2026",841,greco-roman-religions-and-culture,,greco-roman-world,False
May 2026 Gold Q&A Announcement: We’re Trying Something New!,https://ehrmanblog.org/may-2026-gold-qa-announcement-were-trying-something-new/,"May 1, 2026",270,public-forum,gold; platinum,blog-community,False
Nile Cruise: Cancellation,https://ehrmanblog.org/nile-cruise-cancellation/,"May 1, 2026",122,public-forum,,blog-community,False
Was Jesus the Incarnation of an Angel?  Anniversary Post #13,https://ehrmanblog.org/did-paul-think-of-jesus-as-the-incarnation-of-an-angel-anniverary-post-13/,"April 30, 2026",838,early-christian-doctrine; paul-and-his-letters,,paul-and-letters; historical-jesus; christology,False
An Amazing Fragment of a Lost Gospel: Anniversary Post #12,https://ehrmanblog.org/an-amazing-fragment-of-a-lost-gospel-anniversary-post-12/,"April 29, 2026",1135,early-christian-writings,,early-christianity; christian-apocrypha; canonical-gospels,False
Active Pastors Who Have Lost Their Faith: Anniversary Post #11,https://ehrmanblog.org/active-pastors-who-have-lost-their-faith/,"April 28, 2026",1674,public-forum,,faith-doubt-belief,False
"The Seven Sleepers of Ephesus: Platinum Post by Douglas Wadeson, MD",https://ehrmanblog.org/the-seven-sleepers-of-ephesus-platinum-post-by-douglas-wadeson-md/,"April 27, 2026",1583,public-forum,platinum,blog-community,False
A Letter Written by Jesus!?  Anniversary Post #10,https://ehrmanblog.org/a-letter-written-by-jesus-anniversary-post-10/,"April 26, 2026",1184,forgery-in-antiquity; historical-jesus,,historical-jesus; authorship-forgery,False
Anniversary Post #9:  Misquoting Misquoting Jesus,https://ehrmanblog.org/anniversary-post-9-misquoting-misquoting-jesus-2/,"April 25, 2026",1574,new-testament-manuscripts,,historical-jesus; textual-criticism,False
May 2026 Platinum Webinar Announcement,https://ehrmanblog.org/may-2026-platinum-webinar-announcement/,"April 24, 2026",133,public-forum,platinum,blog-community,False
"Different Words, VERY Different Theologies, and Understanding Which Words They Were. Readers’ Questions",https://ehrmanblog.org/different-words-very-different-theologies-and-understanding-which-words-they-were-readers-questions/,"April 23, 2026",1377,public-forum; readers-questions,,reader-questions,False
Bad Bible Jokes.  (And do you have any?),https://ehrmanblog.org/bad-bible-jokes-and-do-you-have-any/,"April 22, 2026",216,public-forum,,hebrew-bible-judaism; canon-and-scripture,False
Anniversary Post #8:  When Is a Contradiction Not a Contradiction?,https://ehrmanblog.org/anniversary-post-9-when-is-a-contradiction-not-a-contradiction/,"April 21, 2026",1461,canonical-gospels,,canonical-gospels; canon-and-scripture,False
"Does God Care What We Wear? A Platinum Post by Douglas Wadeson, MD",https://ehrmanblog.org/does-god-care-what-we-wear-a-platinum-post-by-douglas-wadeson-md/,"April 20, 2026",2045,public-forum,platinum,faith-doubt-belief; blog-community,False
Celebrating our 14th Anniversary!  Check Out the Unusual Q&A!,https://ehrmanblog.org/our-anniversary-celebration-for-14-years-of-the-blog-check-out-the-unusual-qa/,"April 19, 2026",131,public-forum,,blog-community,False
Anniversary Post #7:  Doing a Graduate Degree in Early Christian Studies,https://ehrmanblog.org/anniversary-post-7-doing-a-graduate-degree-in-early-christian-studies/,"April 18, 2026",1211,teaching-christianity,,early-christianity; teaching-scholarship,False
Anniversary Post #6  Is Mark’s Seemingly Simple Gospel Unsophisticated?,https://ehrmanblog.org/is-marks-seemingly-simple-gospel-unsophisticated-anniversary-post-6/,"April 16, 2026",1075,canonical-gospels,,canonical-gospels,False
Anniversary Post #5: Why I Was Reluctant to Write The Triumph of Christianity,https://ehrmanblog.org/anniversary-post-5-why-i-was-reluctant-to-write-the-triumph-of-christianity/,"April 15, 2026",1291,book-discussions; spread-christianity,,spread-of-christianity; book-discussion,False
Anniversary Post #4: Why Gospels Matter Even Where They Are Not Historical,https://ehrmanblog.org/anniversary-post-4-why-gospels-matter-even-where-they-are-not-historical/,"April 14, 2026",2166,canonical-gospels; historical-jesus,,canonical-gospels; historical-jesus,False
Anniversary Post #3:  My Response to an Ill-Tempered Richard Carrier,https://ehrmanblog.org/anniversary-post-3-my-response-to-an-ill-tempered-richard-carrier/,"April 12, 2026",1120,barts-critics; historical-jesus,,historical-jesus; debates-and-critics,False
Anniversary Post #2: Why Were the Gospels Written Anonymously?,https://ehrmanblog.org/anniversary-post-2-why-were-the-gospels-written-anonymously/,"April 11, 2026",958,canonical-gospels,,canonical-gospels,False
Anniversary Post #1:  Defending Misquoting Jesus,https://ehrmanblog.org/anniversary-post-1-defending-misquoting-jesus/,"April 9, 2026",1761,barts-critics; new-testament-manuscripts,,historical-jesus; textual-criticism; debates-and-critics,False
Celebrating The Blog’s 14th Anniversary!  Do You Have a Favorite Post?,https://ehrmanblog.org/celebrating-the-blogs-14th-anniversary-do-you-have-a-favorite-post/,"April 8, 2026",429,public-forum,,blog-community,False
The Distinctively Jewish Roots of Jesus’ Ethics,https://ehrmanblog.org/the-distinctively-jewish-roots-of-jesus-ethics/,"April 7, 2026",1421,historical-jesus,,historical-jesus; hebrew-bible-judaism,False
"Understanding the Gospels, Jesus, and the Spread of Christianity: Great Readers’ Questions",https://ehrmanblog.org/understanding-the-gospels-jesus-and-the-spread-of-christianity-great-readers-questions/,"April 5, 2026",1174,canonical-gospels; historical-jesus; readers-questions,,canonical-gospels; historical-jesus; spread-of-christianity; reader-questions,False
Rethinking Faith Podcast Interview About Love Thy Stranger,https://ehrmanblog.org/rethinking-faith-podcast-interview-about-love-thy-stranger/,"April 4, 2026",71,public-forum,,faith-doubt-belief; media-video,False
Early Christian Reactions to “Heresies” in a Nutshell,https://ehrmanblog.org/early-christian-reactions-to-heresies-in-a-nutshell/,"April 2, 2026",1615,history-of-christianity-100-300ce; public-forum,,early-christianity; church-history,False
The First Attempts to Wipe Out Christianity,https://ehrmanblog.org/the-first-attempts-to-wipe-out-christianity/,"April 1, 2026",1279,history-of-christianity-100-300ce,,church-history; early-christianity,False
When Emperors Became More Involved in Christian Persecutions,https://ehrmanblog.org/when-emperors-became-more-involved-in-christian-persecutions/,"March 31, 2026",1248,history-of-christianity-100-300ce; public-forum,,church-history; early-christianity,False
You’re Invited: The Blog Turns 14,https://ehrmanblog.org/youre-invited-the-blog-turns-14/,"March 30, 2026",318,public-forum,,blog-community,False
"Early Persecutions of Christians, in a Nutshell",https://ehrmanblog.org/early-persecutions-of-christians-in-a-nutshell/,"March 29, 2026",1493,history-of-christianity-100-300ce; public-forum,,early-christianity; church-history,False
"The Rise of Christian Anti-Judaism, in a Nutshell",https://ehrmanblog.org/the-rise-of-christian-anti-judaism-in-antiquity-in-a-nutshell/,"March 28, 2026",1183,jews-and-christians-in-antiquity,,hebrew-bible-judaism,False
April 2026 Gold Q&A: Get Your Questions In!,https://ehrmanblog.org/april-2026-gold-qa-get-your-questions-in/,"March 27, 2026",177,public-forum,gold; platinum,blog-community; reader-questions,False
"Early Christian Views of Judaism, In a Nutshell",https://ehrmanblog.org/early-christian-views-of-judaism-in-a-nutshell/,"March 26, 2026",918,jews-and-christians-in-antiquity,,hebrew-bible-judaism; early-christianity,False
Readers’ Questions on the Accuracy of the Gospels,https://ehrmanblog.org/readers-questions-on-the-accuracy-of-the-gospels/,"March 25, 2026",1161,readers-questions,,canonical-gospels; reader-questions,False
The Good Done By Christianity to Our World,https://ehrmanblog.org/the-good-done-by-christianity-to-our-world/,"March 24, 2026",1173,public-forum,,,True
The Dark Side of Christianity: How I (Partially) End My New Book,https://ehrmanblog.org/how-i-end-my-new-book-love-the-stranger/,"March 22, 2026",1262,public-forum,,book-discussion,False
Advance Preview–How I Begin My New Book: Love Thy Stranger,https://ehrmanblog.org/advance-preview-how-i-begin-my-new-book-love-thy-stranger/,"March 21, 2026",1719,public-forum,,book-discussion,False
The Letter to Diognetus: An Unknown Gem among the Apostolic Fathers (in a Nutshell),https://ehrmanblog.org/the-letter-to-diognetus-an-unknown-gem-among-the-apostolic-fathers-in-a-nutshell/,"March 19, 2026",1760,public-forum,,early-christianity,False
Why in Particular I’d Love to Get my Grubby Paws on Paul’s Lost Letters,https://ehrmanblog.org/why-in-particular-id-love-to-get-my-grubby-paws-on-pauls-lost-letters/,"March 18, 2026",1023,paul-and-his-letters,,paul-and-letters,False
Paul’s Lost Letters,https://ehrmanblog.org/pauls-lost-letters/,"March 17, 2026",1153,paul-and-his-letters; readers-questions,,paul-and-letters; reader-questions,False
While We’re Talking About the Reliability of Eyewitnesses…,https://ehrmanblog.org/while-were-talking-about-the-reliability-of-eyewitnesses/,"March 15, 2026",1456,canonical-gospels; historical-jesus; memory-studies,,canonical-gospels; historical-jesus; memory-oral-tradition,False
Eyewitness Accounts of Miracles,https://ehrmanblog.org/eyewitness-accounts-of-miracles/,"March 14, 2026",1688,barts-debates; historical-jesus; memory-studies,,historical-jesus; miracles; memory-oral-tradition; debates-and-critics,False
"Christ’s legalism, his divine and human nature, stories of his father Joseph — and other questions.",https://ehrmanblog.org/christs-legalism-his-divine-and-human-nature-stories-of-his-father-joseph-and-other-questions/,"March 12, 2026",1275,public-forum,,christology; reader-questions,False
A Legal Case for Jesus’s Resurrection,https://ehrmanblog.org/a-legal-case-for-jesuss-resurrection/,"March 11, 2026",987,public-forum,,historical-jesus; resurrection,False
A New Proof of the Resurrection.  What Do YOU Think?,https://ehrmanblog.org/a-new-proof-of-the-resurrection-what-do-you-think/,"March 10, 2026",1266,barts-debates; historical-jesus,,historical-jesus; resurrection; debates-and-critics,False
Does God Care What We Eat? – Platinum Post by Doug Wadeson,https://ehrmanblog.org/does-god-care-what-we-eat-platinum-post-by-doug-wadeson/,"March 9, 2026",2357,public-forum,platinum,faith-doubt-belief; blog-community,False
How Important Actually Was Paul (When Alive and After)?,https://ehrmanblog.org/how-important-actually-was-paul-when-alive-and-after/,"March 8, 2026",1199,public-forum,,paul-and-letters,False
Does Papias Say Matthew and Mark Wrote OUR Matthew and Mark?,https://ehrmanblog.org/does-papias-say-matthew-and-mark-wrote-our-matthew-and-mark/,"March 7, 2026",1287,public-forum,,canonical-gospels; early-christianity,False
Do the Synoptics Present an Early Character of the Jesus Movement?  –Platinum Post by Ryan Fleming,https://ehrmanblog.org/do-the-synoptics-present-an-early-character-of-the-jesus-movement-platinum-post-by-ryan-fleming/,"March 6, 2026",1179,public-forum,platinum,historical-jesus; blog-community,False
Is Papias Generally Trustworthy?,https://ehrmanblog.org/is-papias-generally-trustworthy/,"March 5, 2026",1142,public-forum,,early-christianity; historical-method,False
Does Papias Provide Us Direct Access to the Teachings of the Apostles?,https://ehrmanblog.org/does-papias-provide-us-direct-access-to-the-teachings-of-the-apostles/,"March 4, 2026",1026,public-forum,,early-christianity; historical-method,False
Papias in a Nutshell.  An Important Figure Among the Apostolic Fathers,https://ehrmanblog.org/papias-in-a-nutshell-an-important-figure-among-the-apostolic-fathers/,"March 3, 2026",785,early-christian-writings,,early-christianity,False
Announcing the “Sponsor a Stranger” Campaign,https://ehrmanblog.org/announcing-the-sponsor-a-stranger-campaign/,"March 2, 2026",720,public-forum,,blog-community,False
Free Live Debate on the Resurrection (March 2),https://ehrmanblog.org/free-live-debate-on-the-resurrection-march-2/,"March 1, 2026",144,public-forum,,resurrection; debates-and-critics,False
The Earliest Christian Apologist:  Quadratus in a Nutshell,https://ehrmanblog.org/the-earliest-christian-apologist-quadratus-in-a-nutshell/,"March 1, 2026",831,early-christian-writings,,early-christianity,False
What Are the Chances?  The Logic of “Intelligent Design”,https://ehrmanblog.org/what-are-the-chances-the-logic-of-intelligent-design/,"February 28, 2026",1401,reflections-ruminations,,faith-doubt-belief; personal-autobiographical,False
Interesting Questions from Readers (Including on the Consistency of Mark and the Reality of Suffering),https://ehrmanblog.org/interesting-questions-from-readers-including-on-the-consistency-of-mark-and-the-reality-of-suffering/,"February 26, 2026",1380,readers-questions,,canonical-gospels; suffering-and-evil; reader-questions,False
"Who Wrote the Shepherd of Hermas, and When?",https://ehrmanblog.org/who-wrote-the-shepherd-of-hermas-and-when/,"February 25, 2026",791,public-forum,,authorship-forgery,False
What’s Actually *in* the Shepherd of Hermas?,https://ehrmanblog.org/whats-actually-in-the-shepherd-of-hermas/,"February 24, 2026",1029,early-christian-writings; public-forum,,early-christianity,False
"Blog Dinner in Charlottesville, VA on March 21.  You Interested?",https://ehrmanblog.org/blog-dinner-in-charlottesville-va-on-march-21-you-interested/,"February 23, 2026",151,public-forum,,blog-community,False
A Sign From God?  Mormon Missionaries and Me,https://ehrmanblog.org/a-sign-from-god-mormon-missionaries-and-me/,"February 22, 2026",905,public-forum,,faith-doubt-belief,False
If It Wasn’t “For Your Sins” Why Did Jesus Die (according to Luke)?,https://ehrmanblog.org/if-it-wasnt-for-your-sins-why-did-jesus-die-according-to-luke/,"February 21, 2026",1096,acts-of-the-apostles; canonical-gospels; early-christian-doctrine,,canonical-gospels; acts-and-revelation; historical-jesus; christology,False
March 2026 Gold Q&A Announcement,https://ehrmanblog.org/march-2026-gold-qa-announcement/,"February 20, 2026",223,public-forum,gold; platinum,blog-community,False
Has Luke Gotten Rid of the Idea That Jesus Died for Your Sins?,https://ehrmanblog.org/has-luke-gotten-rid-of-the-idea-that-jesus-died-for-your-sins/,"February 19, 2026",1055,canonical-gospels; new-testament-manuscripts,,canonical-gospels; historical-jesus; textual-criticism,False
The Controversy Over Jesus’ Last Supper in Luke (Did He Speak of Dying “For you”?),https://ehrmanblog.org/the-controversy-over-jesus-last-supper-in-luke-did-he-speak-of-dying-for-you/,"February 18, 2026",1126,canonical-gospels; new-testament-manuscripts,,canonical-gospels; historical-jesus; textual-criticism,False
Should You Say It Like You Mean It?  Those Inoffensive Critical Scholars…,https://ehrmanblog.org/should-you-say-it-like-you-mean-it-those-inoffensive-critical-scholars/,"February 17, 2026",1005,canonical-gospels; history-of-biblical-scholarship,,canonical-gospels; historical-method; teaching-scholarship; debates-and-critics,False
Yet More: A Christian Forger Who Warns Against Reading Forgeries!,https://ehrmanblog.org/yet-more-a-christian-forger-who-warns-against-reading-forgeries/,"February 15, 2026",1004,early-christian-writings,,early-christianity; authorship-forgery,False
And an Ancient Christian Deceived Deceiver (i.e. Forger),https://ehrmanblog.org/and-an-ancient-christian-deceived-deceiver-i-e-forger/,"February 14, 2026",926,early-christian-writings,,early-christianity; authorship-forgery,False
Should You “Give It All Away”?  The Views of Wealth in the Shepherd of Hermas,https://ehrmanblog.org/should-you-give-it-all-away-the-views-of-wealth-in-the-shepherd-of-hermas/,"February 12, 2026",1040,early-christian-writings,,early-christianity,False
An Ancient Apocalypse Among the Apostolic Fathers: The Shepherd of Hermas,https://ehrmanblog.org/an-ancient-apocalypse-among-the-apostolic-fathers-the-shepherd-of-hermas/,"February 11, 2026",1255,early-christian-writings,,early-christianity; acts-and-revelation,False
A Great Story of a Deceived Deceiver,https://ehrmanblog.org/a-great-story-of-a-deceived-deceiver/,"February 10, 2026",1171,public-forum,,,True
The Second Coming (Yeats),https://ehrmanblog.org/the-second-coming-yeats/,"February 8, 2026",620,public-forum,,,True
About Work Habits and Productivity…,https://ehrmanblog.org/48876-2/,"February 7, 2026",1452,public-forum,,teaching-scholarship,False
Why I Wrote Love Thy Stranger and Significant Benefits that Can Come Your Way,https://ehrmanblog.org/why-i-wrote-love-thy-stranger-and-significant-benefits-that-can-come-your-way/,"February 6, 2026",929,public-forum,,,True
Greek Island Trip: Cancellation,https://ehrmanblog.org/greek-island-trip-cancellation/,"February 5, 2026",48,public-forum,,blog-community,False
From Eternal Torment to Styles of Greek to the Dating of Ignatius: Interesting Readers’ Questions,https://ehrmanblog.org/from-eternal-torment-to-styles-of-greek-to-the-dating-of-ignatius-interesting-readers-questoins/,"February 5, 2026",1077,readers-questions,,reader-questions,False
The Most Egregious Copying Mistake by a New Testament Scribe,https://ehrmanblog.org/the-most-egregious-copying-mistake-by-a-new-testament-scribe/,"February 4, 2026",970,public-forum,,canon-and-scripture; textual-criticism,False
Just How Careless Could an Ancient Christian Scribe Be?,https://ehrmanblog.org/just-how-careless-could-an-ancient-christian-scribe-be/,"February 3, 2026",953,public-forum,,textual-criticism,False
Interested in Q?  Did It Exist?,https://ehrmanblog.org/interested-in-q-did-it-exist/,"February 1, 2026",513,public-forum,,,True
The Muratorian Canon (The first “list” of Christian canonical books),https://ehrmanblog.org/the-muratorian-canon-the-first-list-of-christian-canonical-books/,"January 31, 2026",933,public-forum,,canon-and-scripture,False
When Did Paul and the Gospels Become Canonical Scripture?,https://ehrmanblog.org/when-did-paul-and-the-gospels-become-canonical-scripture/,"January 29, 2026",1068,public-forum,,canonical-gospels; paul-and-letters; canon-and-scripture,False
"The Death of Joseph the Carpenter, as Told By Jesus",https://ehrmanblog.org/the-death-of-joseph-the-carpenter-as-told-by-jesus/,"January 28, 2026",1772,public-forum,,historical-jesus,False
Here’s an Apocryphal Gospel You Probably Don’t Know!  The History of Joseph the Carpenter.,https://ehrmanblog.org/heres-an-apocryphal-gospel-you-probably-dont-know-the-history-of-joseph-the-carpenter/,"January 27, 2026",843,public-forum,,christian-apocrypha; canonical-gospels,False
Why Was the Canon Still Up For Grabs in the Second Century?,https://ehrmanblog.org/why-was-the-canon-still-up-for-grabs-in-the-second-century/,"January 25, 2026",1121,public-forum,,canon-and-scripture,False
"Authors, Authorities, and Who Gets To Write the Bible",https://ehrmanblog.org/authors-authorities-and-who-gets-to-write-the-bible/,"January 24, 2026",987,public-forum,,hebrew-bible-judaism; canon-and-scripture; authorship-forgery,False
How and When Did Christians Decide What Should Be in the New Testament Canon?,https://ehrmanblog.org/how-and-when-did-christians-decide-what-should-be-in-the-new-testament-canon/,"January 22, 2026",1257,public-forum,,canon-and-scripture,False
Why Did Early Christians Want a New Canon of Scripture?,https://ehrmanblog.org/why-did-early-christians-want-a-new-canon-of-scripture/,"January 21, 2026",1049,public-forum,,early-christianity; canon-and-scripture,False
Important Questions About Matthew and Paul,https://ehrmanblog.org/important-questions-about-matthew-and-paul/,"January 20, 2026",1194,public-forum,,paul-and-letters; canonical-gospels; reader-questions,False
My Last Lecture at UNC – The Most Significant Discovery in the History of Biblical Studies,https://ehrmanblog.org/my-last-lecture-at-unc-the-most-significant-discovery-in-the-history-of-biblical-studies/,"January 18, 2026",109,public-forum,,teaching-scholarship,False
Christ and the Gods:  Check It Out!,https://ehrmanblog.org/christ-and-the-gods-full-documentary/,"January 17, 2026",121,public-forum,,,True
February 2026 Gold Q&A Announcement,https://ehrmanblog.org/february-2026-gold-qa-announcement/,"January 16, 2026",142,public-forum,gold; platinum,blog-community,False
Christian Churches Steadfastly Refusing To Help Those in Need….,https://ehrmanblog.org/christian-churches-steadfastly-refusing-to-help-those-in-need/,"January 15, 2026",1528,religion-in-the-news,,news-current-events,False
The New Testament in a Nutshell: The 50 Word Summaries of Each Book (All of them!),https://ehrmanblog.org/the-new-testament-in-a-nutshell-50-word-summaries/,"January 14, 2026",1677,public-forum,,book-discussion,False
When Did We Get Chapters and Verses? A Quick Answer,https://ehrmanblog.org/when-we-got-chapters-and-verses-a-quick-answer/,"January 13, 2026",422,public-forum,,canon-and-scripture,False
Weren’t Jewish Scribes Fully Accurate to the Letter?,https://ehrmanblog.org/werent-jewish-scribes-fully-accurate-to-the-letter/,"January 11, 2026",1108,hebrew-bible-old-testament,,hebrew-bible-judaism; textual-criticism,False
Do We Know if Our Copies of the Hebrew Bible (Old Testament) Are Accurate?,https://ehrmanblog.org/do-we-know-if-our-copies-of-the-hebrew-bible-old-testament-are-accurate/,"January 10, 2026",1084,hebrew-bible-old-testament,,hebrew-bible-judaism; canon-and-scripture,False
Q1 Platinum Webinar Announcement,https://ehrmanblog.org/q1-platinum-webinar-announcement/,"January 9, 2026",123,public-forum,platinum,blog-community,False
The Formation of the Hebrew Bible: The Common Scholarly View Today,https://ehrmanblog.org/the-formation-of-the-hebrew-bible-the-common-scholarly-view-today/,"January 8, 2026",1224,hebrew-bible-old-testament,,hebrew-bible-judaism; canon-and-scripture; news-current-events; teaching-scholarship,False
When Was the Hebrew Bible Canonized?  The Traditional View,https://ehrmanblog.org/when-was-the-hebrew-bible-canonized-the-traditional-view/,"January 7, 2026",774,public-forum,,hebrew-bible-judaism; canon-and-scripture,False
Charts Showing the Organization of the English Old Testament and the Hebrew Bible,https://ehrmanblog.org/charts-showing-the-organization-of-the-english-old-testament-and-the-hebrew-bible/,"January 6, 2026",570,hebrew-bible-old-testament,,hebrew-bible-judaism; canon-and-scripture,False
Getting the Hebrew Bible:  A Primer (What is the Old Testament…),https://ehrmanblog.org/getting-the-hebrew-bible-a-primer-what-is-the-old-testament/,"January 4, 2026",1206,hebrew-bible-old-testament,,hebrew-bible-judaism; canon-and-scripture,False
Rarely Asked Questions About Why THESE Letters of Paul Are in the Canon,https://ehrmanblog.org/rarely-asked-questions-about-why-these-letters-of-paul-are-in-the-canon/,"January 3, 2026",1428,paul-and-his-letters,,paul-and-letters; canon-and-scripture; reader-questions,False
The Year in Review: 2025!,https://ehrmanblog.org/the-year-in-review-2025/,"December 31, 2025",901,public-forum,,blog-community,False
From A (to Z of the New Testament) to B(eyond Deconstruction): Guest Post by James F. McGrath,https://ehrmanblog.org/from-a-to-z-of-the-new-testament-to-beyond-deconstruction-guest-post-by-james-f-mcgrath/,"December 30, 2025",1222,history-of-biblical-scholarship,,historical-method; teaching-scholarship,False
Alphabet Soup of the New Testament: Guest Post by James F. McGrath,https://ehrmanblog.org/alphabet-soup-of-the-new-testament-guest-post-by-james-f-mcgrath/,"December 28, 2025",1328,history-of-biblical-scholarship,,historical-method; teaching-scholarship,False
The A-Z of the New Testament: Guest Post by James McGrath,https://ehrmanblog.org/the-a-z-of-the-new-testament-guest-post-by-james-mcgrath/,"December 27, 2025",1159,history-of-biblical-scholarship,,historical-method; teaching-scholarship,False
January 2026 Gold Q&A Announcement,https://ehrmanblog.org/january-2026-gold-qa-announcement/,"December 26, 2025",102,public-forum,gold; platinum,blog-community,False
My Interview about Christmas with Nicholas Kristof (New York Times),https://ehrmanblog.org/my-interview-about-christmas-with-nicholas-kristof-new-york-times/,"December 25, 2025",295,public-forum,,media-video,False
Pubs and Churches on Christmas Eve,https://ehrmanblog.org/pubs-and-churches-on-christmas-eve/,"December 24, 2025",884,reflections-ruminations,,faith-doubt-belief; personal-autobiographical,False
Reflecting on the Christmas Tree and Faith,https://ehrmanblog.org/reflecting-on-the-christmas-tree-and-faith/,"December 23, 2025",989,reflections-ruminations,,faith-doubt-belief; personal-autobiographical,False
Comics from My Office Door,https://ehrmanblog.org/comics-from-my-office-door/,"December 21, 2025",59,public-forum,,,True
