n	wpId	dateText	title	secondaryKeywords	rawCandidateTags	summary	textStart
11	47027	December 30, 2024	Did Jesus Come to Bring Peace?	Jesus; Messiah; Isaiah; Christmas; Heaven; Matthew; Luke; Herod; Luke 2:13; Psalms 45:6; Hebrews 1:8; Jeremiah 31:15; Matthew 10:34-35; Jeremiah	jesus; gospels; new-testament; hebrew-bible; textual-criticism; canon; suffering-evil; heaven-hell	One of my favorite Christmas carols is Hark! The Herald Angels Sing,[i] which includes among its memorable lines, “Hail the heaven-born Prince of Peace, Hail the Sun of Righteousness.	Did Jesus Come to Bring Peace? December 30, 2024 Was Jesus’ birth meant to bring peace into the world? One of my favorite Christmas carols is Hark! The Herald Angels Sing,[i] which includes among its memorable lines, “Hail the heaven-born Prince of Peace, Hail the Sun of Righteousness.” The carol is celebrating the announcement of Jesus’ birth to the shepherds “in the fields by night” in Luke 2: 13 And suddenly there was with the angel a multitude of the heavenly host, praising God and saying, 1
12	41404	October 28, 2024	Blog Etiquette in These Troubling Times!	Early Judaism; Historical Jesus; Hebrew Bible; Judaism; Jesus	jesus; new-testament; hebrew-bible; early-christianity; roman-world; judaism; public-forum	In these massively troubling times (no need for me to itemize the issues) and the incredibly disturbing bifurcation of opinions, views, and perspectives, where very few people have even the slightest interest in listening to someone on “the other side,” there is at least one thing that virtually everyone agrees on: these are massively troubling times with incredibly disturbing bifurcation of …. We	Blog Etiquette in These Troubling Times! October 28, 2024 In these massively troubling times (no need for me to itemize the issues) and the incredibly disturbing bifurcation of opinions, views, and perspectives, where very few people have even the slightest interest in listening to someone on “the other side,” there is at least one thing that virtually everyone agrees on: these are massively troubling times with incredibly disturbing bifurcation of …. Well. right. We can at least agree it’s a me
13	41251	October 26, 2024	Unexpected Social Agendas in the New Testament.  Who Woulda Thought?	Philemon; Paul; Mark; Jesus; Acts 12:13-16; Colossians 3:22-4:1; Ephesians 6:5-9; Luke 14:26; Matthew 10:37; Mark 3:31-34; Luke 12:51-53; Matthew 10:34-46; Mark 13:12; Mark 2:18-22	jesus; gospels; paul; new-testament; early-christianity; apocrypha; public-forum	Unexpected Social Agendas in the New Testament. Who Woulda Thought?	Unexpected Social Agendas in the New Testament. Who Woulda Thought? October 26, 2024 Most Christians turn to the Bible to some degree or another for guidance on their ethical views and perspectives on social agendas. For those who read it closely, the Bible can be problematic ethically. Most people realize there is a problem with the endorsement of slavery in the Bible (both Old and New Testaments); few have ever seen that there is also a problem with what today we think of a “family values.” In
14	40387	September 6, 2024	The Next Ten Commandments Platinum Guest post by Douglas Wadeson MD	King James Version; James; Exodus; Exodus 21:2; Exodus 21:7; Exodus 21:13; Numbers 35:6; Matthew 15:4; Mark 7:10; Exodus 21:22-25; Jesus	jesus; gospels; hebrew-bible; textual-criticism; judaism; blog-news; public-forum	Here’s another guest post by Platinum member Doug Wadeson, who once again brings out some startling issue just from what the Bible says that most people don’t see, or at least blithely ignore. What do you think?	The Next Ten Commandments Platinum Guest post by Douglas Wadeson MD September 6, 2024 Here’s another guest post by Platinum member Doug Wadeson, who once again brings out some startling issue just from what the Bible says that most people don’t see, or at least blithely ignore. What do you think? If you like Doug’s work (I do!), he has started a new blog, that he describes as providing “off-beat articles about the Bible.” Interested? Check it out: TheBibleUndressed.blog – A doctor dissects the H
15	40302	August 20, 2024	A (Modern-Discovered) Gospel That Shows Jesus Was Married With Children?	Jesus; Joseph; Mary Magdalene; Mary; Secret Gospel of Mark; Gospels (General); Gospel of Mark; Philip; Joseph and Aseneth; Simcha Jacobovici; Jesus Wife; Old Testament; Gospel of Mary; Deuteronomy 7:3; Joshua 23:12; Nehemiah 13:25; Genesis 41:45; Genesis 41:50-52; Job 1:6; Job 38:7; Genesis 6:2; Bathsheba; Delilah; Eve; Moses; Samson; Solomon	jesus; gospels; new-testament; hebrew-bible; early-christianity; apocrypha; textual-criticism; forgery-authorship	Recently I’ve talked about “recently discovered Gospels” (e. g.	A (Modern-Discovered) Gospel That Shows Jesus Was Married With Children? View Larger Image August 20, 2024 Recently I’ve talked about “recently discovered Gospels” (e.g.,The Secret Gospel of Mark); and just now I remembered a tempest-in-a-tea-pot breathless announcement made ten years ago about a “new Gospel” that had been discovered that showed Jesus and Mary Magdalene were married with children. This is NOT the gnostic Gospel of Philip I’ve talked a number of times before (where Jesus is kissi
16	39923	July 4, 2024	Does God Have Chromosomes? Guest Post by Douglas Wadeson, MD	Jesus; Virgin Birth; Mary; Gospels (General); Matthew; Luke; Son of God; Genesis 6:2; Enoch	jesus; gospels; new-testament; hebrew-bible; early-christianity; roman-world; reader-questions; blog-news	What happens when a modern physician starts asking difficult questions of familiar biblical stories? Here is one answer: an intriguing post covering a topic that will not have occurred to most of us.	Does God Have Chromosomes? Guest Post by Douglas Wadeson, MD July 4, 2024 What happens when a modern physician starts asking difficult questions of familiar biblical stories? Here is one answer: an intriguing post covering a topic that will not have occurred to most of us. Let’s think about how a Virgin Birth works when (now, unlike antiquity) we have a pretty good idea of how Births work in general. If God made Mary pregnant through the spirit, what does that have to say about the nature of Jes
17	39832	June 20, 2024	Can You Disprove the Existence of God?	Existence of God; Early Christianity; Lectures; Q&A; Abraham	early-christianity; miracles; reader-questions; public-forum	Is there a way to “disprove” the existence of God? I’m not asking what the best arguments are; I’m asking whether an argument is possible.	Can You Disprove the Existence of God? June 20, 2024 Is there a way to “disprove” the existence of God? I’m not asking what the best arguments are; I’m asking whether an argument is possible. Just now I’m on a tour of some of the Greek Islands (Andros, Naxos. Amorgas, Santorini, and Crete) giving lectures for a group of unusually interesting people from a striking range of backgrounds – doctors, psychologists, scientists, financial advisers, business owners of various kinds, and so on, most of t
18	39574	May 17, 2024	When Does Life Begin?  The Status of the Unborn in the Biblical Tradition.	Lectures; Jesus	jesus; new-testament; reader-questions; public-forum	When Does Life Begin? The Status of the Unborn in the Biblical Tradition.	When Does Life Begin? The Status of the Unborn in the Biblical Tradition. May 17, 2024 I’m pleased to announce that I will be doing a new two-lecture course on a rather timely topic, When Does Life Begin: The Status of the Unborn in the Biblical Tradition. The course is not connected with the Blog per se, except insofar as I’m doing it and many of you might be interested. For more information and registration, go to http://www.bartehrman.com/life Even if you can’t come to the live lectures, you 
19	38778	March 28, 2024	Dealing With Reviews of My Books By People Who (Apparently) Haven’t Read Them	Jesus; How Jesus Became God; Visions; Resurrection; Reza Aslan	jesus; gospels; new-testament; early-christianity; forgery-authorship; resurrection; canon; christology	As I am inching closer to writing my next book, on how the ethics of Jesus transformed the moral conscience of the West, I have started thinking, possibly not unnaturally, about how some of my earlier books were critiqued in published reviews. I really don’t mind if someone understands what I write and has reasoned disagreements with it; and I’m happy to make vigorous counter-arguments in response	Dealing With Reviews of My Books By People Who (Apparently) Haven’t Read Them March 28, 2024 As I am inching closer to writing my next book, on how the ethics of Jesus transformed the moral conscience of the West, I have started thinking, possibly not unnaturally, about how some of my earlier books were critiqued in published reviews. I really don’t mind if someone understands what I write and has reasoned disagreements with it; and I’m happy to make vigorous counter-arguments in response. But u
20	38520	February 27, 2024	The Disciple Peter in History and Legend	Peter; Mary Magdalene; Jesus; Empty Tomb; Mary; Paul; Acts; Acts 9:36-43	jesus; gospels; paul; new-testament; apocrypha; forgery-authorship; resurrection; canon	Probably my best-named book is Peter, Paul, and Mary Magdalene. This is a book I wrote so I could use the title.	The Disciple Peter in History and Legend View Larger Image February 27, 2024 Probably my best-named book is Peter, Paul, and Mary Magdalene. This is a book I wrote so I could use the title. (A) In fact a publisher wanted to give me a contract for the book, but I turned it down because they wanted me to do other apostles too. NO! I said. It’s gotta be these three. It’s perfect! They disagreed. Some people just don’t have a sense of humor. So I went with a different publisher. (!) The short thread
21	38235	February 7, 2024	Gospel Thrillers Part I by Andrew Jacobs	Gospels (General); Q; Jesus; Pontius Pilate	jesus; gospels; new-testament; early-christianity; textual-criticism; canon; heaven-hell; reader-questions	Probably all (nearly all?) of us have read thrillers, and all of us (certainly!)	Gospel Thrillers Part I by Andrew Jacobs View Larger Image February 7, 2024 Probably all (nearly all?) of us have read thrillers, and all of us (certainly!) have heard of Gospels. And some of us have read “Gospel Thrillers.” But do you know what a Gospel Thriller is? You’ve probably never heard the term because it was recently coined by scholar of late antiquity Andrew Jacobs, in his intriguing analysis of them (the first analysis ever done), accessible to lay people (hey, we’re talkin’ thriller
22	38313	January 31, 2024	In Support of Religious Studies at a Major University	Mission	new-testament; roman-world; judaism; reader-questions; public-forum	To the mutual chagrin of the faculty colleagues in my department, we recently learned that the chancellor of one our affiliate schools, UNC Greensboro, was considering closing down their own very fine Department of Religious Studies ( the UNC “system” has 16 public universities, over which there is a President; each university has its own Chancellor as its chief executive officer).	In Support of Religious Studies at a Major University January 31, 2024 How dispensible is Religious Studies to the mission of a modern university? To the mutual chagrin of the faculty colleagues in my department, we recently learned that the chancellor of one our affiliate schools, UNC Greensboro, was considering closing down their own very fine Department of Religious Studies ( the UNC “system” has 16 public universities, over which there is a President; each university has its own Chancellor a
23	38221	January 27, 2024	Making the Bible Benevolent: Guest Post by Jill Hicks-Keeton	Paul; Goodness; Jesus	jesus; gospels; paul; new-testament; hebrew-bible; textual-criticism; forgery-authorship; suffering-evil	Is the Bible “Good News” for everyone, or, does it just seem good to those who want it to be? And how do readers make it good in places that on any honest reading are not (think violence and the treatment of women and slaves).	Making the Bible Benevolent: Guest Post by Jill Hicks-Keeton January 27, 2024 Is the Bible “Good News” for everyone, or, does it just seem good to those who want it to be? And how do readers make it good in places that on any honest reading are not (think violence and the treatment of women and slaves). Jill Hicks-Keeton, Associate Professor of Religious Studies at the University of Sourthern California, has recently published an intriguing book that is highly controversial in some circles (thos
24	38178	January 22, 2024	Thoughts on Cosmology, a Platinum Post From Charles Hawkins	Hebrew Bible; Jesus; Paul; Noah	jesus; paul; new-testament; hebrew-bible; textual-criticism; heaven-hell; roman-world; blog-news	Like many of you, I’m fascinated by how ancient people understood the world / universe — the “cosmos” — and by what modern cosmologist who actually do the science say about it. Only rarely can someone speak confidently about both topics, wildly different as they are.	Thoughts on Cosmology, a Platinum Post From Charles Hawkins January 22, 2024 Like many of you, I’m fascinated by how ancient people understood the world / universe — the “cosmos” — and by what modern cosmologist who actually do the science say about it. Only rarely can someone speak confidently about both topics, wildly different as they are. So I’m pleased to publish this Platinum guest post by Charles Hawkins, which discusses cosmology in antiquity and modernity and the transition betwixt them
25	37638	November 29, 2023	Is There Any Sarcasm in the New Testament?	Paul; Jesus; 1 Corinthians; Suffering; Matthew 7:1; Matthew 7:3; Galatians 5:12	jesus; gospels; paul; new-testament; suffering-evil; heaven-hell; roman-world; judaism	Every now and then someone asks me if there is any sarcasm used in the New Testament. You would think the answer would be fairly obviously, No.	Is There Any Sarcasm in the New Testament? View Larger Image November 29, 2023 Every now and then someone asks me if there is any sarcasm used in the New Testament. You would think the answer would be fairly obviously, No. But, well, I’ve dealt with the issue before, and my response was Yes. Let me start by giving a definition of sarcasm. You can find various definitions just on the Internet, but the basic idea is that sarcasm is a form of humor that used irony in order to mock another. It is di
26	37529	November 17, 2023	Does God Have Chromosomes? Platinum Post by Douglas Wadeson, MD	Jesus; Virgin Birth; Christmas; Mary; Gospels (General); Matthew; Luke; Son of God; Genesis 6:2; Enoch	jesus; gospels; new-testament; hebrew-bible; early-christianity; roman-world; reader-questions; blog-news	What happens when a modern physician starts asking difficult questions of familiar biblical stories? Here is one answer: an intriguing post covering a topic that will not have occurred to most of us.	Does God Have Chromosomes? Platinum Post by Douglas Wadeson, MD November 17, 2023 What happens when a modern physician starts asking difficult questions of familiar biblical stories? Here is one answer: an intriguing post covering a topic that will not have occurred to most of us. Let’s think about how a Virgin Birth works when (now, unlike antiquity) we have a pretty good idea of how Births work in general. If God made Mary pregnant through the spirit, what does that have to say about the natur
27	36908	September 24, 2023	Was the Father of Jesus … Pantera?  Part II Guest Post by James Tabor	Jesus; James; Deuteronomy; Leviticus; Mary; Joseph; Nazareth; Jacob; Pilate; Peter; Deuteronomy 22:13-30; Matthew 1:18; Luke 1:26-27; Deuteronomy 22:23-24; Micah 1:7; Mark 7:1-13; Elisha; Ishmael; Jonah; Levi; Simeon	jesus; gospels; new-testament; apocrypha; roman-world; judaism; historical-jesus	Was the Father of Jesus … Pantera?	Was the Father of Jesus … Pantera? Part II Guest Post by James Tabor September 24, 2023 Here James Tabor continues with his discussion of Jesus’ actual, biological father. There are ancient indications that it was a man named Pantera. How do evaluate these statements. Could they possibly be true? ****************************** Part II The Jewish term for such a child born of any sexual relationship forbidden in the Torah is a mamzer, often mistakenly translated as “bastard,” but it is a legal te
28	35689	September 11, 2023	The Pauline Style and a Discussion About Paul’s Motivation. A Platinum Post From Omar Robb	Paul; Jesus; James; Moses; 1 Corinthians 9:19; Galatians 1:9	jesus; gospels; paul; hebrew-bible; early-christianity; textual-criticism; roman-world; blog-news	Here are some reflections on the homiletic style Paul uses in his letters, with some much broader implications for understanding Paul’s situation and teaching by Platinum Post member Omar Robb. Feel free to comment and provide feedback!	The Pauline Style and a Discussion About Paul’s Motivation. A Platinum Post From Omar Robb September 11, 2023 Here are some reflections on the homiletic style Paul uses in his letters, with some much broader implications for understanding Paul’s situation and teaching by Platinum Post member Omar Robb. Feel free to comment and provide feedback! ****************************** I need to be upfront and clearly say that this article is just a rough set of assumptions. In order for this article to ju
29	36683	September 8, 2023	Jesus, Sun Myung Moon, and Me: a Platinum Post from William Poe	Jesus; Abraham; Messiah; Heaven; Lectures; Mission; Paul	jesus; paul; new-testament; early-christianity; resurrection; martyrdom; suffering-evil; heaven-hell	A bit of introduction may be in order. I grew up in a conservative Southern Baptist church.	Jesus, Sun Myung Moon, and Me: a Platinum Post from William Poe September 8, 2023 ******************************* A bit of introduction may be in order. I grew up in a conservative Southern Baptist church. My family wasn’t especially religious, but we often attended Sunday sermons and not least due to peer pressure, I was baptized when I was nine years old. As a teen, and without much resistance from my parents, I became interested in more spiritualist approaches to religion. By age fifteen, I h
30	36676	September 1, 2023	Thoughts on Cosmology, a Platinum Post From Charles Hawkins	Hebrew Bible; Jesus; Paul; Noah	jesus; paul; new-testament; hebrew-bible; textual-criticism; heaven-hell; roman-world; blog-news	Like many of you, I’m fascinated by how ancient people understood the world / universe — the “cosmos” — and by what modern cosmologist who actually do the science say about it. Only rarely can someone speak confidently about both topics, wildly different as they are.	Thoughts on Cosmology, a Platinum Post From Charles Hawkins September 1, 2023 Like many of you, I’m fascinated by how ancient people understood the world / universe — the “cosmos” — and by what modern cosmologist who actually do the science say about it. Only rarely can someone speak confidently about both topics, wildly different as they are. So I’m pleased to publish this Platinum guest post by Charles Hawkins, which discusses cosmology in antiquity and modernity and the transition betwixt the
31	36640	August 28, 2023	Premarital Sex in The Song of Songs: A Platinum Post by Dan Kohanski	Song of Songs; Prophets; Solomon; Proverbs; Proverbs 7:17-18; Ezekiel 16:7-8; Ezekiel 23:17; Ezekiel 16:26; 2 Samuel 17:8; Exodus 34:25; Isaiah 5:1; Paul; Rebekah	jesus; paul; new-testament; hebrew-bible; apocrypha; textual-criticism; canon; judaism	The Bible has numerous passages that would be shocking to many readers if they read them without pious assumptions. Of none is that more true than the Song of Songs (sometimes called the Song of Solomon).	Premarital Sex in The Song of Songs: A Platinum Post by Dan Kohanski August 28, 2023 The Bible has numerous passages that would be shocking to many readers if they read them without pious assumptions. Of none is that more true than the Song of Songs (sometimes called the Song of Solomon). And so I welcome this guest post by Platinum members Dan Kohanski, who takes on this erotic work and tries to say it as it is! Remember: you too can publish a post for other Platinum members. Why not give it a 
32	36003	July 6, 2023	What Is (Sexually) “Unnatural”?	Acts (General)	new-testament; hebrew-bible; early-christianity; textual-criticism; miracles; roman-world; public-forum	Very few people ever bother to reflect on what the term “natural” means or how one decides what an “unnatural might be – and what makes it unnatural. Almost everyone simply assumes that we each have a conscience; that our consciences basically tell all of us the same things; that there are some things we know are wrong, without needing anyone tell us; and – for a large segment of the population — 	What Is (Sexually) “Unnatural”? July 6, 2023 Are sex acts other than those between a man and a woman “unnatural”? Very few people ever bother to reflect on what the term “natural” means or how one decides what an “unnatural might be – and what makes it unnatural. Almost everyone simply assumes that we each have a conscience; that our consciences basically tell all of us the same things; that there are some things we know are wrong, without needing anyone tell us; and – for a large segment of the
33	35328	June 2, 2023	The 3rd Rail – A Critique of Jesus. Platinum Post by Steve Clark	Jesus; Historical Jesus	jesus; gospels; new-testament; textual-criticism; judaism; blog-news; public-forum	It was a cold winter morning, the exciting music of the 1970’s was in my head. I was learning to play guitar and learning to be cool.	The 3rd Rail – A Critique of Jesus. Platinum Post by Steve Clark June 2, 2023 A Platinum post for Platinum members from Platinum member Steve Clark: ****************************** It was a cold winter morning, the exciting music of the 1970’s was in my head. I was learning to play guitar and learning to be cool. Mostly failing at both but kept trying. What else was a young man to do in the 70’s? I was walking around Georgia State University in downtown Atlanta (my friends called it the concrete 
34	35159	April 29, 2023	Good Friday or Easter?  CNN OpEd	Gospels (General); Revelation; Canon; Jesus; Suffering	jesus; gospels; new-testament; forgery-authorship; resurrection; canon; suffering-evil; blog-news	On Easter Sunday CNN published an OpEd that I wrote to discuss how so many Christians (most I’ve ever known) are not overly compelled by Good Friday but are passionate about Easter. Just, well, check out the church attendance on both days.	Good Friday or Easter? CNN OpEd April 29, 2023 On Easter Sunday CNN published an OpEd that I wrote to discuss how so many Christians (most I’ve ever known) are not overly compelled by Good Friday but are passionate about Easter. Just, well, check out the church attendance on both days. In the OpEd I argued that it’s because as a rule most Christians prefer the glory to the pain, and in some ways that preference is written into the canon of the New Testament, where the teachings of Jesus of the n
35	35003	April 14, 2023	Baptism and the Macbeth Effect.    Platinum post by Douglas Wadeson MD	Jesus; Gospel of John; John 4:1; Mark 1:4; Romans 6:4; Colossians 2:11; Acts 2:38	jesus; gospels; paul; new-testament; roman-world; judaism; reader-questions; blog-news	Baptism and the Macbeth Effect.	Baptism and the Macbeth Effect. Platinum post by Douglas Wadeson MD April 14, 2023 Here is very thoughtful post by Platinum blog member Doug Wadeson, an intriguing psychological assessment of the rite of Baptism. In relation to MacBeth. The Bible and Shakespeare in one post? Whoa. What do you think?? Remember, you too can write blog posts for fellow Platinum members. It can be on anything you want that is related to the blog. One out of four of these guest posts get voted to go onto the whole bl
36	34998	April 10, 2023	The Quest for the Legendary Jesus.  Platinum Guest Post by Robert Droney	Jesus; Historical Jesus; Pontius Pilate; Bart Ehrman; Pilate; Mary Magdalene	jesus; new-testament; early-christianity; apocrypha; textual-criticism; canon; roman-world; judaism	The Quest for the Legendary Jesus.	The Quest for the Legendary Jesus. Platinum Guest Post by Robert Droney April 10, 2023 Now *here* are some smart and interesting reflections about a topic most of us think is rather crucial: the quest for Jesus. But which Jesus? And which quester? Here Robert Droney discusses the search for the “legendary Jesus” by one who is questioning his faith. It should generate some feedback! So comment away! ****************************** I “accidentally” listened to the audio book of Ralph Ellison’s Invi
37	34678	March 26, 2023	REVELATION, A Novel.  Excerpts from Blog Guest Poster Gary McCarragher	Revelation; James; Jesus; Lectures	jesus; new-testament; canon; judaism; reader-questions; book-discussions; public-forum	REVELATION, A Novel.	REVELATION, A Novel. Excerpts from Blog Guest Poster Gary McCarragher View Larger Image March 26, 2023 Last week I published a guest post by blog member Gary McCarragher, who has just published Revelation: A Novel, about a professor of New Testament studies at a certain university in the South. Gary and I had consulted on his work, and how it has seen the light of published day! We received a lot of good response from his post, and I asked him if he’d be interested in excerpting a bit of the nov
38	34332	February 21, 2023	Wait, Was Jesus Married?  Guest Post by Kyle Smith	Jesus; Early Christianity; Forgery (General); Gospels (General); Mary; Luke; John; Luke 10:38-42; John 11:7; John 12:2; Acts 22:3; John 12:3; Mark 14:3; Luke 7:36-38; Paul; Gamaliel; Lazarus	jesus; gospels; paul; new-testament; hebrew-bible; early-christianity; textual-criticism; forgery-authorship	This is now the second guest post by Kyle Smith, scholar of early Christianity, on a hot topic related to his recently published book.	Wait, Was Jesus Married? Guest Post by Kyle Smith February 21, 2023 This is now the second guest post by Kyle Smith, scholar of early Christianity, on a hot topic related to his recently published book. Kyle is Associate Professor and Director of the History of Religions Program at the University of Toronto. An award-winning teacher, he is the author or coauthor of five books about Christian saints and martyrs, including Cult of the Dead: A Brief History of Christianity (University of California
39	34320	February 19, 2023	How Does Something “Mean”	Early Christianity; Virgin Birth; Leviticus 18:22; Romans 1:18-32; 1 Corinthians 6:9; 1 Timothy 1:10; Jesus; Paul	jesus; gospels; paul; new-testament; early-christianity; textual-criticism; canon; heaven-hell	One morning recently, at the crack of dawn, I was walking my dog when I saw my neighbor Sally walk across the street and pick up the newspaper from my neighbor Jane’s driveway, and head back to her house. I thought WHOA!	How Does Something “Mean” View Larger Image February 19, 2023 One morning recently, at the crack of dawn, I was walking my dog when I saw my neighbor Sally walk across the street and pick up the newspaper from my neighbor Jane’s driveway, and head back to her house. I thought WHOA! Sally is stealing Jane’s paper! I bet her own paper didn’t get delivered this morning! Interesting and a bit amusing. But Sally she stopped in her own driveway and picked up her (identical) paper, and I suddenly reali
